Address,Minted,Cost Per Slothty,Total Cost,IDs
0x02e0893d6B46481C826C9dB4099f08d181b13531,17,249,4233,"[4427, 314, 4279, 7821, 7945, 8277, 7505, 2066, 7521, 7536, 3444, 6122, 131, 1668, 6252, 4480, 8497]"
0xf50D262a10F4904C2620B0C11E9a5Cd5708C9179,17,249,4233,"[7717, 7424, 316, 1672, 2441, 1764, 8006, 788, 2625, 251, 2530, 6646, 5119, 8588, 6792, 3335, 3543]"
0x8E2Bd0bbBC3dfAe153Ad7a3c2A17E21Dde966af7,14,288.29,4036,"[5985, 8532, 1678, 2539, 646, 1252, 6757, 5460, 7686, 4842, 2342, 6758, 6734, 8059]"
0x44066ee8d1dAe1859bF170a4677bBa9F0CCa1615,16,249,3984,"[8326, 1355, 6641, 7269, 5972, 5499, 2386, 5085, 5791, 1129, 8011, 4416, 1869, 5532, 5835, 8025]"
0xF45c6eCE46FeccFD2217AbA62D970eBEEe8BAa22,15,249,3735,"[2398, 4147, 7704, 6973, 7115, 5424, 5565, 4130, 8534, 627, 4024, 2998, 6694, 155, 4014]"
0x8b2a55cACdA7F8a0D96F7da474C3DaF523194Cd5,14,249,3486,"[8425, 3382, 2181, 7099, 5461, 1140, 6842, 243, 4461, 6725, 725, 545, 7218, 2177]"
0x44a40187b36d2797Cf4b5eE9Fb98c581ABfD65d7,10,299,2990,"[1189, 6882, 6357, 6463, 7402, 3243, 2733, 5149, 8255, 8883]"
0x83dBbb65A71479B5565F7263C3939F4647Cd16a8,12,249,2988,"[2363, 5719, 730, 2472, 4562, 1286, 6074, 4581, 2641, 4283, 681, 787]"
0x314fE285c344b685cA9a5de153979816673EA3dD,12,249,2988,"[5634, 7654, 3252, 8555, 593, 7363, 4547, 4914, 1117, 8628, 8692, 8619]"
0x5775057D9d60C46b7f64aa1D46A4235C924c6804,12,249,2988,"[1353, 2711, 334, 6688, 2289, 7405, 8288, 7067, 3244, 2881, 8867, 8153]"
0xf40BDB3596bAa36eB9885D8d6aF5b556Ab658180,12,249,2988,"[3531, 115, 2051, 4771, 6016, 3032, 1036, 7715, 4441, 6501, 7366, 3610]"
0x4856700D84A4457c415f1a7a29E9f23EC0bDB9FE,12,249,2988,"[7671, 5018, 6432, 7026, 5642, 4138, 3567, 6002, 5553, 1183, 3130, 3366]"
